Num_trees,Depth,Train_RMSE,Train_Var,Test_RMSE,Test_Var,Size,Tree-Depth
100,10,506.10,91.84,546.61,90.21,8,100-10
100,15,497.35,92.73,507.14,92.40,103,100-15
100,20,479.07,93.35,493.93,92.29,402,100-20
110,11,531.19,91.33,530.46,91.36,15,110-11
110,12,519.79,91.83,521.45,91.82,27,110-12
110,13,509.87,92.24,510.26,92.22,45,110-13
110,14,503.55,92.50,509.68,92.28,70,110-14
110,15,498.60,92.67,504.23,92.53,108,110-15
115,11,528.77,91.46,533.40,91.43,16,115-11
115,12,519.12,91.82,522.77,91.65,28,115-12
115,13,509.70,92.24,510.96,92.20,46,115-13
115,14,502.91,92.52,510.10,92.24,74,115-14
115,15,497.49,92.72,504.94,92.51,113,115-15
120,12,517.18,91.19,521.58,91.85,29,120-12
120,11,528.89,91.48,528.05,91.58,16,120-11
120,13,508.61,92.30,514.00,92.13,48,120-13
120,14,502.13,92.54,508.52,92.41,77,120-14
120,15,496.94,92.77,500.57,92.67,115,120-15
125,11,530.59,91.35,531.39,91.32,17,125-11
125,12,519.42,91.82,525.87,91.66,30,125-12
125,13,508.60,92.30,513.57,92.19,50,125-13
125,14,502.95,92.50,510.05,92.33,79,125-14
125,15,498.19,92.67,504.55,92.50,118,125-15
130,12,518.92,91.19,519.65,91.83,32,130-12
130,11,530.44,91.34,534.06,91.26,18,130-11
130,13,509.31,92.29,514.75,92.10,52,130-13
130,14,503.13,92.52,506.65,92.39,82,130-14
130,15,497.15,92.76,506.13,92.44,125,130-15
135,12,518.57,91.19,522.43,91.68,33,135-12
135,11,531.18,91.33,532.83,91.38,18,135-11
135,13,510.43,92.21,515.76,92.00,54,135-13
135,14,503.16,92.25,511.64,92.20,86,135-14
135,15,498.43,92.68,508.92,92.35,128,135-15
140,11,533.39,91.12,534.79,91.19,19,140-11
140,12,519.42,91.84,523.95,91.75,33,140-12
140,13,511.48,92.14,509.60,92.07,56,140-13
140,14,503.55,92.48,509.84,92.31,88,140-14
140,15,498.12,92.70,508.12,92.44,131,140-15
145,11,530.94,91.35,532.84,91.26,20,145-11
145,12,519.04,91.87,521.05,91.84,35,145-12
145,13,509.73,92.24,512.91,92.15,58,145-13
145,15,497.80,92.27,502.45,92.49,138,145-15
145,14,502.71,92.51,509.68,92.28,91,145-14
150,10,546.75,90.63,550.26,90.53,11,150-10
150,15,497.42,92.75,503.46,92.57,143,150-15
150,20,479.66,93.33,496.76,92.78,572,150-20
200,10,546.89,90.57,546.65,90.63,15,200-10
200,15,496.42,92.77,504.74,92.57,185,200-15
250,10,547.06,90.60,546.13,90.60,18,250-10
250,15,498.49,92.67,506.19,92.48,228,250-15
300,10,547.90,90.51,550.70,90.47,22,300-10
300,15,498.01,92.70,504.72,92.51,273,300-15
